Date,CH4_Emission_Tg
2020-09-01,9.869933
2020-10-01,10.198931
2020-11-01,9.869933
2020-12-01,10.198931
2021-01-01,10.206533
2021-02-01,9.218803
2021-03-01,10.206533
2021-04-01,9.87729
2021-05-01,10.206533
2021-06-01,9.87729
2021-07-01,10.206533
2021-08-01,10.206533
2021-09-01,9.87729
2021-10-01,10.206533
2021-11-01,9.87729
2021-12-01,10.206533
2022-01-01,10.214249
2022-02-01,9.225773
2022-03-01,10.214249
2022-04-01,9.884756
2022-05-01,10.214249
2022-06-01,9.884756
2022-07-01,10.214249
2022-08-01,10.214249
2022-09-01,9.884756
2022-10-01,10.214249
2022-11-01,9.884756
2022-12-01,10.214249
2023-01-01,10.222079
2023-02-01,9.232845
2023-03-01,10.222079
2023-04-01,9.892334
2023-05-01,10.222079
2023-06-01,9.892334
2023-07-01,10.222079
2023-08-01,10.222079
2023-09-01,9.892334
2023-10-01,10.222079
2023-11-01,9.892334
2023-12-01,10.222079
2024-01-01,10.230026
2024-02-01,9.5700245
2024-03-01,10.230026
2024-04-01,9.900024
2024-05-01,10.230026
2024-06-01,9.900024
2024-07-01,10.230026
2024-08-01,10.230026
2024-09-01,9.900024
2024-10-01,10.230026
2024-11-01,9.900024
2024-12-01,10.230026
2025-01-01,10.2380905
2025-02-01,9.247308
2025-03-01,10.2380905
2025-04-01,9.907829
2025-05-01,10.2380905
2025-06-01,9.907829
2025-07-01,10.2380905
2025-08-01,10.2380905
2025-09-01,9.907829
2025-10-01,10.2380905
2025-11-01,9.907829
2025-12-01,10.2380905
2026-01-01,10.246274
2026-02-01,9.2547
2026-03-01,10.246274
2026-04-01,9.915749
2026-05-01,10.246274
2026-06-01,9.915749
2026-07-01,10.246274
2026-08-01,10.246274
2026-09-01,9.915749
2026-10-01,10.246274
2026-11-01,9.915749
2026-12-01,10.246274
